1 1 2 2 2 1 1 2 2 1 1 2 2 1 2 2 1 1 2 1 2 2 2 1 2 2 1 1 1 2 1 1 1 1 2 1 1 2 2 3 2 2 65 1 0 0 0 0
1 1 2 2 1 1 2 2 2 1 1 1 2 1 1 2 1 2 1 1 2 2 1 1 2 1 2 1 2 2 2 2 1 2 2 2 1 1 2 3 1 2 21 1 0 0 0 0
1 1 2 1 2 2 1 1 2 2 2 2 2 1 2 1 1 1 2 1 2 1 2 2 2 2 2 2 2 2 1 2 1 2 2 2 1 2 1 2 2 2 93 1 0 0 0 0
2 1 1 2 1 1 1 2 1 1 2 2 2 2 1 2 1 1 2 1 2 1 1 2 2 1 1 1 1 1 2 1 1 1 1 1 1 2 1 1 2 1 43 1 0 0 0 0
1 1 1 2 2 1 1 1 1 1 2 2 2 2 2 2 1 2 2 2 1 1 2 2 2 2 2 1 1 2 1 1 1 2 1 1 1 1 1 4 2 2 93 1 0 0 0 0
2 2 2 2 1 1 1 1 1 1 1 2 1 2 1 1 1 1 2 2 1 2 2 1 1 1 1 1 2 1 2 1 2 1 1 1 1 1 1 2 2 2 56 1 0 0 0 0
2 1 2 1 2 1 1 1 2 2 1 2 2 1 1 2 1 1 2 1 2 1 1 2 1 2 2 2 2 2 1 2 1 2 1 1 1 2 1 2 2 1 52 1 0 0 0 0
2 2 1 1 2 1 1 1 1 2 1 1 1 2 1 2 1 2 2 2 1 2 1 2 1 1 1 2 2 2 2 1 2 1 2 2 2 2 1 2 2 1 39 1 0 0 0 0
1 2 1 1 2 2 1 2 1 1 1 2 2 2 1 1 1 2 2 2 2 2 1 1 2 2 1 2 1 2 2 1 2 2 1 1 1 2 1 4 2 1 27 1 0 0 0 0
2 1 2 2 1 2 1 2 2 2 1 1 2 2 1 1 1 1 2 1 2 2 1 2 2 1 2 2 1 2 1 1 2 2 2 2 1 1 2 1 2 1 10 1 0 0 0 0
1 1 1 1 1 1 1 2 2 1 1 2 1 1 2 2 1 2 2 1 2 2 2 2 2 1 1 2 1 1 2 1 1 2 2 2 2 1 2 4 1 1 55 1 0 0 0 0
1 2 2 2 1 1 2 1 1 1 1 2 2 1 2 1 1 1 2 1 2 2 2 2 1 2 2 2 1 2 1 1 2 2 2 2 1 1 2 1 2 1 41 1 0 0 0 0
2 1 1 1 2 2 2 1 2 2 1 1 1 2 2 2 1 1 2 2 2 1 1 2 1 2 2 1 1 1 2 1 2 2 1 2 1 1 2 2 2 2 35 1 0 0 0 0
1 2 1 1 1 1 1 1 2 2 1 1 2 2 2 2 1 1 2 2 2 1 1 1 1 1 2 1 1 1 1 2 2 2 1 2 1 2 2 1 1 1 30 1 0 0 0 0
2 1 1 1 1 1 1 1 1 1 2 1 2 2 1 1 1 2 2 2 2 2 1 1 1 1 2 2 2 2 2 1 1 2 1 2 1 1 1 2 2 1 29 1 0 0 0 0
1 1 2 1 2 1 2 2 1 2 1 1 1 2 1 1 1 1 2 2 2 1 1 1 2 2 2 1 1 2 1 1 2 1 2 1 1 2 1 2 1 1 47 1 0 0 0 0
2 1 1 2 2 2 1 2 1 2 2 1 1 1 1 1 2 1 1 1 2 2 2 2 2 1 2 1 1 1 2 1 1 2 1 1 2 2 1 4 1 1 12 1 0 0 0 0
1 2 2 1 1 1 1 2 1 2 1 1 2 1 2 2 1 1 2 2 2 2 1 2 1 2 1 1 2 2 1 2 2 2 2 1 2 1 1 2 1 2 27 1 0 0 0 0
2 1 2 1 1 2 1 2 2 1 2 1 2 2 2 1 1 1 2 1 2 2 2 2 2 2 1 1 1 1 1 2 2 1 2 1 2 2 1 1 2 2 12 1 0 0 0 0
2 1 1 1 2 2 2 1 1 2 1 1 1 2 1 2 1 1 2 2 2 1 2 2 2 2 1 2 1 1 2 1 2 2 2 1 1 1 2 4 1 1 48 1 0 0 0 0
2 2 1 1 1 2 2 2 1 2 2 1 1 1 1 1 1 2 2 2 2 1 2 2 1 1 1 1 2 1 2 1 1 1 1 1 2 2 1 4 2 1 100 1 0 0 0 0
1 1 1 1 2 2 2 2 2 2 2 2 1 1 1 1 1 2 2 2 1 2 1 2 2 2 1 2 1 2 2 1 2 1 2 1 1 2 1 3 2 2 78 1 0 0 0 0
2 1 2 2 2 2 1 1 2 2 2 1 2 2 2 1 1 2 2 2 2 1 1 1 1 1 2 2 2 2 2 1 2 2 1 2 1 2 1 1 2 2 35 1 0 0 0 0
2 2 1 1 2 2 1 2 1 2 1 1 1 1 2 2 1 2 2 1 1 1 2 2 2 2 2 1 2 2 1 1 2 2 1 2 1 2 2 2 2 2 34 1 0 0 0 0
2 2 2 1 2 1 1 1 1 2 1 2 2 2 2 2 1 2 2 1 2 2 2 2 1 1 2 2 2 1 2 1 2 2 1 2 2 1 2 1 2 2 51 1 0 0 0 0
2 1 1 1 1 1 2 2 2 1 1 1 2 2 2 2 1 2 1 1 2 1 2 1 1 1 1 2 2 2 2 2 2 2 2 1 2 1 1 1 1 1 13 1 0 0 0 0
